Fecha;PM10;PM2.5;Vel Viento;Dir Viento;NO;NO2;NOX;SO2;CO;OZONO;BC ug/m3;Temperatura;Presion Baro;HR;Precipitacion;Rad Solar
1/01/2024 1:00;17,1;0;1,2;232;1,8;6,3;8,1;0,6;0,28;5,2;1,3;13,6;0;86,9;0;0
1/01/2024 2:00;24,3;0;1,6;288;2;6,4;8,4;0,7;0,27;5,3;1,7;12,8;0;86,17;0;0
1/01/2024 3:00;19,5;0;0,9;344;4,7;7,5;12,2;0,5;0,32;1;1,6;12;0;88,06;0;0
1/01/2024 4:00;28,4;0;1,4;128;2,1;6,9;8,9;0,5;0,26;2,5;1,9;12,7;0;88,48;0;0
1/01/2024 5:00;26,5;0;1;156;3,7;8,8;12,5;0,6;0,39;1,5;2,7;12,7;0;86,68;0;0
1/01/2024 6:00;36,2;0;0,3;149;3;7,1;10,1;0,4;0,3;2,7;2,1;11,6;0;86,11;0;0
1/01/2024 7:00;25,9;0;0,1;168;7,4;6,4;13,8;0,4;0,38;1,4;2,5;11,3;0;88,22;0;39
1/01/2024 8:00;30,1;0;1,2;319;8,1;6,9;15;0,6;0,41;9,8;2,7;17,6;0;64,96;0;231
1/01/2024 9:00;32,1;0;1,7;279;6,7;9,1;15,8;0,9;0,4;21,6;3,2;20,4;0;51,3;0;417
1/01/2024 10:00;25,1;0;0,9;48;3,4;8,9;12,3;0,8;0,3;29,5;2,5;20,6;0;50,15;0;478
1/01/2024 11:00;27,5;0;1,1;60;1,1;3,1;4,2;0,6;0,13;25,5;0,8;20,7;0;48,41;0;532
1/01/2024 12:00;28,2;0;1,3;87;0,8;1,6;2,4;0,6;0,1;24,4;0,4;21,4;0;45,3;0;574
1/01/2024 13:00;26,5;0;1,8;63;0,6;1,1;1,6;0,6;0,1;25,5;0,5;21,7;0;44,97;0;602
1/01/2024 14:00;22,3;0;0,9;43;0,5;1,2;1,7;0,6;0,1;27;0,4;22,5;0;40,68;0;401
1/01/2024 15:00;21,5;0;3,1;306;0,6;2,5;3,1;0,9;0,16;41;0,9;22,1;0;47,43;0;351
1/01/2024 16:00;16,1;0;4,8;303;0,8;3,9;4,7;1,3;0,24;47,5;1,4;20,3;0;59,13;0;366
1/01/2024 17:00;22,4;0;3,9;286;0,7;3,9;4,7;1,2;0,21;36,6;1,1;18,6;0;64,24;0;172
1/01/2024 18:00;16,8;0;3,7;295;0,6;5,4;6;1,2;0,25;30,7;1,1;16,6;0;71,01;0;31
1/01/2024 19:00;28,3;0;1,5;267;0,4;8,4;8,9;1,1;0,29;22,2;1,3;15,2;0;78,15;0;0
1/01/2024 20:00;21,9;20,6;2,1;290;0,6;10;10,6;1,1;0,36;16,9;2,1;14,9;0;79,73;0;0
1/01/2024 21:00;22,7;0;1;344;1,2;12,5;13,7;1,1;0,36;7,3;1,6;14;0;85,16;0;0
1/01/2024 22:00;18,1;15,4;0,4;300;1,8;13,6;15,5;0,9;0,38;3,1;1,6;12,9;0;87,46;0;0
1/01/2024 23:00;26,4;26,4;0,9;243;2,5;14,2;16,7;0,8;0,38;1,5;1,5;12,6;0;89,45;0;0
2/01/2024 0:00;25,2;15,6;0,9;270;4,1;12,8;16,9;0,8;0,36;0,7;1,6;12,6;0;88,88;0;0
2/01/2024 1:00;30,1;11,5;1,4;344;12,2;12,8;25;0,9;0,5;0,6;2,4;12,6;0;89,04;0;0
2/01/2024 2:00;24,3;13;0,4;250;9,1;10,6;19,7;0,8;0,38;0,6;2,2;11,8;0;89,43;0;0
2/01/2024 3:00;27,3;27,3;0,5;196;5,3;10,1;15,4;0,7;0,31;0,4;1,9;11,3;0;90,02;0;0
2/01/2024 4:00;16,2;14,2;0,7;263;6,2;9,6;15,8;0,6;0,28;0,4;2;10,2;0;84,95;0;0
2/01/2024 5:00;19,6;10,9;0,4;6;8,8;7,6;16,4;0,5;0,26;0,6;2;9,5;0;89,05;0;0
2/01/2024 6:00;19,9;12,6;1,2;232;17,5;7,4;24,9;0,4;0,3;0,7;2,6;9,2;0;90,18;0;0
2/01/2024 7:00;23;8,2;0,4;50;42,9;7,3;50,1;0,6;0,68;1,1;5,4;9,5;0;91,35;0;35
2/01/2024 8:00;19,1;5,4;1,3;342;63,5;13,5;77;0,9;1,38;2,8;5,4;14,2;0;84,55;0;198
2/01/2024 9:00;56,9;8,4;1,3;25;10,2;9,9;20,1;0,9;0,38;15,4;2,7;17,9;0;57,99;0;299
2/01/2024 10:00;40,1;5,5;1,7;285;4,4;6,6;11;0,8;0,24;21,7;1,4;19,5;0;48,26;0;460
2/01/2024 11:00;40,6;3,8;1,3;329;3,5;5,3;8,8;0,8;0,23;29,3;1,6;21,7;0;42,53;0;714
2/01/2024 12:00;29,8;2,5;1,7;281;2,8;6,7;9,4;0,9;0,27;39,4;2;23;0;39,25;0;684
2/01/2024 13:00;28,7;1,8;0,7;271;1,9;6,8;8,8;1;0,25;45,1;1,8;23,2;0;38,47;0;727
2/01/2024 14:00;25,9;15,2;4,1;299;1,7;7,8;9,5;1,5;0,27;53,5;2,9;22,1;0;48,09;0;519
