Fecha;PM10;PM2.5;Vel Viento 10M;Dir Viento 10M;NO;NO2;NOX;SO2;CO;OZONO;BC;Temperatura;Presion Baro;Temperatura 8M;Temperatura 20M;HR;Precipitacion;Rad Solar
1/01/2024 1:00;36;22;0,4;296;13,2;13;26,2;0;0,65;0,2;0;13,6;565;10,5;14,1;86,36;0;0
1/01/2024 2:00;31;26;0,5;357;15,6;12;27,7;0;0,7;0,2;0;13,1;564;10,3;13,8;85,75;0;0
1/01/2024 3:00;37;25;0,3;346;27,4;12,7;40,1;0;0,81;0,2;0;12,6;564;10,2;13,5;85,6;0;0
1/01/2024 4:00;33;24;0,4;294;21,2;11,2;32,4;0;0,72;0,1;0;13,1;564;10,7;13,6;86,46;0;0
1/01/2024 5:00;43;29;0,6;145;18,1;9,9;28;0;0,63;0,7;0;12,7;564;10,5;13,3;86,36;0;0
1/01/2024 6:00;34;24;0,8;336;9,1;8,1;17,2;0;0,53;0,6;0;12,2;564;10;13,2;85,68;0;0
1/01/2024 7:00;42;27;0,8;212;15,3;9,2;24,5;0;0,55;1,2;0;12;565;9,9;12,8;85,92;0;19
1/01/2024 8:00;26;14;1,1;0;8;3,6;11,6;0;0,36;5,3;0;16,8;565;13,3;14,2;83,04;0;192
1/01/2024 9:00;20;14;1,1;330;4,3;0,4;4,7;0;0,28;11,1;0;19,6;565;18;15,7;64,24;0;370
1/01/2024 10:00;23;9;1,3;153;0;0;0;0;0,22;13,6;0;20,4;566;21,4;17,6;53,46;0;420
1/01/2024 11:00;11;9;1,8;109;0;0;0;0;0,21;12,7;0;19,2;565;20,1;17,5;52,42;0;268
1/01/2024 12:00;13;8;1,9;109;0;0;0;0;0,22;13,6;0;21;565;22,4;18,6;49,36;0;539
1/01/2024 13:00;13;6;1,3;147;0;0;0;0;0,21;16,3;0;22,5;565;23,4;20,2;40,51;0;591
1/01/2024 14:00;11;4;1,3;318;0;0;0;0;0,22;16,5;0;23,3;564;23,1;20,9;39,22;0;538
1/01/2024 15:00;9;4;1,3;280;0;0;0;0;0,22;17,5;0;23,4;563;23,7;21,6;37,16;0;320
1/01/2024 16:00;21;16;1,7;256;0;0;0;0;0,24;20,2;0;22,4;563;22,7;20,8;47,61;0;268
1/01/2024 17:00;26;16;2,5;256;0;0;0;0;0,27;22,7;0;20,7;563;21,7;19,2;54,66;0;190
1/01/2024 18:00;22;14;1,9;254;2,2;2,1;4,3;0;0,26;20,3;0;17,2;563;17,2;17,3;63,29;0;15
1/01/2024 19:00;22;18;1;213;2,1;0,9;3;0;0,28;15,7;0;15,6;564;15,4;16,2;73,19;0;0
1/01/2024 20:00;24;14;0,6;227;2,1;3,9;6;0;0,33;10,2;0;14,8;564;14,4;15,7;77,97;0;0
1/01/2024 21:00;26;16;0,5;223;2,1;4,6;6,7;0;0,31;9,1;0;14,5;565;14;15,5;80,92;0;0
1/01/2024 22:00;27;14;0,4;291;2,3;4,9;7,2;0;0,31;6,7;0;14;565;13,6;15,1;81,21;0;0
1/01/2024 23:00;27;17;0,5;294;15,7;16,5;32,2;0;0,58;2,4;0;13,3;565;12,7;14,5;83,01;0;0
2/01/2024 0:00;35;22;0,4;345;68,4;30,1;98,5;0;1,06;0,1;0;13,3;565;12,9;14,5;84,67;0;0
2/01/2024 1:00;30;13;0,5;300;22,6;17,4;40;0;0,58;0,6;0;13,3;564;12,9;14;84,09;0;0
2/01/2024 2:00;26;14;0,6;304;9,1;13,7;22,8;0;0,42;1;0;13;564;12,7;13,6;84,27;0;0
2/01/2024 3:00;24;13;0,5;289;4,4;10,9;15,3;0;0,36;0,6;0;12,2;564;11,8;13,3;84,27;0;0
2/01/2024 4:00;29;15;0,6;298;32,6;16,9;49,5;0;0,47;0,1;0;12,1;564;11,6;13;85,21;0;0
2/01/2024 5:00;21;15;0,5;344;46,7;19,8;66,5;0;0,52;0,1;0;11,8;564;11,4;12,5;85,49;0;0
2/01/2024 6:00;28;11;0,5;300;68,2;23;91,1;0;0,7;0,1;0;12;564;11,6;12,6;85,91;0;0
2/01/2024 7:00;41;26;0,4;27;152,9;41,8;194,8;0;1,48;0,1;0;12;565;11,7;12,6;85,46;0;13
2/01/2024 8:00;32;22;0,7;20;50,5;19,9;70,5;0;0,74;3,7;0;14,2;565;14,3;13,8;81,95;0;90
2/01/2024 9:00;25;15;1,3;160;4,2;0,8;5;0;0,24;11,7;0;17,7;565;18,3;15,4;61,72;0;284
2/01/2024 10:00;25;12;1,8;331;5,5;2,8;8,3;0;0,29;12,2;0;18,7;565;19;16,2;56,88;0;448
2/01/2024 11:00;23;10;1,5;316;4,2;0,9;5;0;0,25;17;0;20,9;565;22;17,8;49,7;0;572
2/01/2024 12:00;27;9;1,5;317;3,2;0,5;3,6;0;0,24;21,4;0;21,9;564;23,1;19,3;45,05;0;676
2/01/2024 13:00;26;11;1,7;334;3,2;0,8;4;0;0,25;23,4;0;22,7;564;22,9;20,1;41,17;0;507
2/01/2024 14:00;24;4;1,4;286;0;0;0;0;0,21;18,1;0;24,8;563;25,3;21,9;35,55;0;660
2/01/2024 15:00;31;8;2,9;257;3;0,7;3,8;0;0,26;23,1;0;22;563;22,7;20,6;43,65;0;281
2/01/2024 16:00;30;19;3;260;2,5;1,7;4,2;0;0,26;25,1;0;19,3;563;19,7;18,9;58,14;0;159
2/01/2024 17:00;33;14;2,1;252;2,5;3,5;6;0;0,27;24,7;0;18,3;563;18,5;18;63,23;0;89
2/01/2024 18:00;30;10;1,1;246;2,2;2,4;4,6;0;0,24;18,7;0;16,7;563;16,7;16,8;68,58;0;13
2/01/2024 19:00;24;11;1;195;2;0,2;2,2;0;0,22;16,4;0;15,3;564;15,1;15,8;71,74;0;0
2/01/2024 20:00;27;19;1;197;2,3;9,7;12;0;0,35;11,5;0;15;564;14,7;15,8;75;0;0
2/01/2024 21:00;26;21;0,6;268;2,4;10,6;13;0;0,36;12,1;0;14,4;564;14;15,3;72,35;0;0
2/01/2024 22:00;34;26;0,4;336;33,3;33,8;67,1;0;0,77;2;0;13,2;565;12,8;14,6;74,37;0;0
2/01/2024 23:00;38;25;0,5;312;51,7;39,3;91,1;0;0,92;0,7;0;12,4;565;11,9;13,8;78,83;0;0
3/01/2024 0:00;35;24;0,4;326;17,2;24,3;41,5;0;0,55;1,7;0;12,1;565;11,6;13,3;79,39;0;0
3/01/2024 1:00;33;20;0,5;310;13,8;19,3;33,1;0;0,42;2,3;0;11,5;564;11,1;12,7;81,59;0;0
3/01/2024 2:00;34;16;0,7;347;19,1;20,3;39,5;0;0,45;0,5;0;11,1;564;10,5;12,2;82,33;0;0
3/01/2024 3:00;25;16;0,6;287;23;21,7;44,7;0;0,44;0,1;0;10,9;564;10,5;11,8;82,78;0;0
3/01/2024 4:00;26;17;0,4;302;42,4;23;65,4;0;0,47;0,1;0;10,3;564;9,8;11,3;82,85;0;0
3/01/2024 5:00;42;23;0,4;339;110;37;146,9;0;0,63;0,1;0;9,6;564;8,9;10,9;82,45;0;0
3/01/2024 6:00;28;16;0,4;290;63,6;24,4;88;0;0,51;0,1;0;8,8;564;8,1;10,3;83,6;0;0
3/01/2024 7:00;56;37;0,3;330;0;0;0;0;1,35;0,2;0;9;565;7,9;9,9;84,17;0;23
3/01/2024 8:00;53;27;0,6;339;79,5;31,8;111,3;0;0,73;1,7;0;15,1;565;12,6;12;84,17;0;173
3/01/2024 9:00;32;25;1,1;326;27,9;17,1;45;0;0,43;7,5;0;18,8;566;17,3;14,7;65;0;394
3/01/2024 10:00;29;23;1,4;328;12;9,9;21,9;0;0,35;13,3;0;20,7;565;20,9;16,7;55,57;0;596
3/01/2024 11:00;19;15;2;339;6;3,9;9,9;0;0,26;18,5;0;21,7;565;23;18,2;46,98;0;735
3/01/2024 12:00;23;7;1,8;345;3,9;1,5;5,3;0;0,23;22,3;0;22,7;564;23,4;19,3;40,96;0;748
