Fecha;PM10;PM2.5;Vel Viento 10M;Dir Viento 10M;NO;NO2;NOX;SO2;CO;OZONO;BC;Temperatura;Presion Baro;HR;Precipitacion;Rad Solar
1/12/2023 1:00;44;24;0;302;192,8;13,9;206,7;0;1,13;0,2;0;7,1;564;81,97;0;0
1/12/2023 2:00;50;30;0;349;264,9;13,2;278;0;1,13;0,2;0;5,9;564;82,48;0;0
1/12/2023 3:00;42;23;0;323;199,7;13,7;213,4;0;0,64;0,1;0;5,7;564;83,96;0;0
1/12/2023 4:00;30;18;0;311;144,2;9,6;153,9;0;0,4;0,2;0;4,9;564;83,77;0;0
1/12/2023 5:00;45;30;0,6;314;235,4;14,2;249,6;0;0,62;0,2;0;4,6;564;84,19;0;0
1/12/2023 6:00;54;30;0,8;31;174,1;17,1;191,3;0;0,68;0,3;0;6,3;564;86,02;0;0
1/12/2023 7:00;47;30;0,9;355;80,4;14,8;95,2;0;0,58;0,6;0;7,5;565;86,75;0;19
1/12/2023 8:00;68;34;1;336;61,9;14,1;76;0;0,55;2,8;0;9,9;565;87,1;0;163
1/12/2023 9:00;53;27;1;311;27,1;7,6;34,8;0;0,32;9,2;0;16,7;565;68,56;0;452
1/12/2023 10:00;20;8;1,4;155;8,3;0,4;8,7;0;0,09;15,3;0;19,8;565;43,56;0;602
1/12/2023 11:00;22;6;1,5;315;0;0;0;0;0,04;18,6;0;21,3;565;37,34;0;742
1/12/2023 12:00;17;7;1,8;181;0;0;0;0;0,04;19,6;0;22,3;564;32,72;0;770
1/12/2023 13:00;23;6;2;169;0;0;0;0;0,08;18,4;0;23,4;564;30;0;818
1/12/2023 14:00;24;5;2,2;176;0;0;0;0;0,08;18,3;0;24,1;563;28,57;0;751
1/12/2023 15:00;20;6;2,4;137;0;0;0;0;0,1;16,9;0;23,6;563;30,28;0;571
1/12/2023 16:00;24;8;2,1;117;9,8;2,6;12,3;0;0,14;14,8;0;23;563;32,3;0;344
1/12/2023 17:00;21;10;2,2;95;9,4;3,4;12,8;0;0,16;13,5;0;20,7;563;36,4;0;126
1/12/2023 18:00;23;10;1,7;115;8,5;6,7;15,2;0;0,2;11,2;0;16,9;563;49,05;0;2
1/12/2023 19:00;20;6;1,3;288;4,1;5;9;0;0,13;12,1;0;14,8;563;60,23;0;0
1/12/2023 20:00;0;8;1,8;204;6,4;5;11,4;0;0,15;11,7;0;14,2;564;64,61;0;0
1/12/2023 21:00;0;18;1,2;308;18,3;16,4;34,8;0;0,27;4;0;12,8;564;69,4;0;0
1/12/2023 22:00;0;17;0,6;303;52,8;17,6;70,3;0;0,57;1,3;0;10,5;564;73,6;0;0
1/12/2023 23:00;0;17;0,6;298;48,7;16,4;65,1;0;0,57;0,2;0;9,2;564;78,01;0;0
2/12/2023 0:00;0;26;0,6;316;105,1;14,9;119,9;0;0,89;0,3;0;8,1;564;79,28;0;0
2/12/2023 1:00;0;23;0,5;327;112,5;14;126,6;0;0,85;0,2;0;7,1;564;81,3;0;0
2/12/2023 2:00;0;25;0,5;341;159,4;13,4;172,8;0;1;0,2;0;6,4;563;82,45;0;0
2/12/2023 3:00;0;21;0,6;280;104,7;11,6;116,3;0;0,63;0,1;0;6,3;563;83,71;0;0
2/12/2023 4:00;0;31;0,5;301;167,7;12,1;179,9;0;0,78;0,3;0;5,3;563;83,29;0;0
2/12/2023 5:00;0;26;0,3;317;196,5;11,6;208,1;0;0,85;0,3;0;4,7;564;83,33;0;0
2/12/2023 6:00;0;32;0,4;319;163,3;12,4;175,8;0;0,71;0,2;0;4,7;564;83,95;0;0
2/12/2023 7:00;0;30;0,5;316;142,2;12,1;154,3;0;0,88;0,6;0;6,7;564;85,13;0;44
2/12/2023 8:00;0;31;1,7;338;56;11,5;67,4;0;0,47;3,9;0;12,8;565;79,72;0;255
2/12/2023 9:00;0;14;1;321;16,8;4,4;21,3;0;0,22;11,5;0;17,8;565;57,13;0;450
2/12/2023 10:00;0;14;1,2;313;7,4;0,8;8,2;0;0,14;16,2;0;20,3;565;44,76;0;623
2/12/2023 11:00;0;11;1,6;165;0;0;0;0;0,09;17;0;20,6;565;41,22;0;437
2/12/2023 12:00;0;6;1,8;114;0;0;0;0;0,12;15,8;0;20,5;564;42,83;0;393
2/12/2023 13:00;0;6;2,6;178;0;0;0;0;0,11;17;0;21,8;564;40,01;0;609
2/12/2023 14:00;0;9;3,4;170;0;0;0;0;0,13;17,9;0;21,6;563;38,38;0;526
2/12/2023 15:00;0;13;3,1;159;0;0;0;0;0,15;18,7;0;22,4;562;35,85;0;535
2/12/2023 16:00;0;10;2,1;148;6,2;1;7,2;0;0,16;18,3;0;23,5;562;33,3;0;365
2/12/2023 17:00;0;9;1,9;115;6,2;3;9,3;0;0,18;16,3;0;21;562;37,58;0;119
2/12/2023 18:00;0;11;1,6;137;4,8;5;9,8;0;0,2;14,4;0;16,5;562;54,33;0;1
2/12/2023 19:00;0;11;1,5;137;5,3;7,8;13,1;0;0,24;11,9;0;14,6;563;64,21;0;0
2/12/2023 20:00;0;12;0,5;244;3,4;8,3;11,7;0;0,22;9,8;0;13,4;564;69,96;0;0
2/12/2023 21:00;0;17;0,6;334;18,5;17,3;35,7;0;0,47;3,4;0;13,4;564;73,18;0;0
2/12/2023 22:00;0;21;0,6;330;26;21,5;47,5;0;0,56;0,4;0;12,3;564;72,47;0;0
2/12/2023 23:00;0;24;0,5;328;33,1;18,8;51,8;0;0,63;0,2;0;10,6;564;76,94;0;0
3/12/2023 0:00;0;24;0,4;338;82,8;15;97,8;0;1,08;0,1;0;9,1;564;79,64;0;0
3/12/2023 1:00;0;21;0,5;335;66,7;13,8;80,5;0;0,77;0,1;0;8,9;564;83,43;0;0
3/12/2023 2:00;0;19;0,5;320;94,3;12,5;106,9;0;0,8;0,2;0;8,8;563;84,33;0;0
3/12/2023 3:00;0;22;0,9;337;53,7;10,5;64,2;0;0,51;0,2;0;9,6;563;85,48;0;0
3/12/2023 4:00;0;20;1,3;342;11,2;10,5;21,8;0;0,3;0,2;0;10;563;82,61;0;0
3/12/2023 5:00;0;16;1,5;347;8;9,9;17,9;0;0,22;0,3;0;10,1;563;80,88;0;0
