Fecha;PM10;PM2.5;Vel Viento;Dir Viento;NO;NO2;NOX;SO2;CO;OZONO;BC;Temperatura;Presion Baro;HR;Precipitacion;Rad Solar;
1/01/2024 1:00;30,6;16,7;1,1;318;3,6;16,1;19,7;0,9;0,49;5,8;0;14,5;565;94;0;0;
1/01/2024 2:00;42;29,2;0,5;251;2,7;13,4;16,1;0,8;0,48;6;0;14,4;565;94;0;0;|
1/01/2024 3:00;56;44,3;0,6;144;5,9;15,5;21,4;0,6;0,65;1,9;0;13,9;564;93;0;0;
1/01/2024 4:00;55;48,9;0,9;172;7,5;15,9;23,4;0,6;0,61;3,2;0;14,3;564;86;0;0;
1/01/2024 5:00;51,9;51,9;0,6;197;1,3;12,3;13,6;0,4;0,42;5,8;0;14,2;564;84;0;0;
1/01/2024 6:00;51,2;45,3;0,4;194;6,2;15,3;21,5;0,2;0,65;1,5;0;13,4;565;90;0;0;
1/01/2024 7:00;50,8;38,8;0,6;163;23,2;14,7;37,9;0,3;0,94;2;0;13,3;565;90;0;40;
1/01/2024 8:00;54,3;49,2;0,8;250;16,4;14;30,4;0,5;0,61;8,6;0;15,4;565;76;0;229;
1/01/2024 9:00;41,8;35,9;0,9;242;2,3;5,2;7,5;1;0,24;19,2;0;17,5;565;61;0;446;
1/01/2024 10:00;30,9;26,5;1,2;334;1,2;4,6;5,8;0,8;0,27;27,3;0;18,6;566;54;0;627;
1/01/2024 11:00;22,2;19,9;1,6;89;1;4,5;5,5;0,3;0,25;28,7;0;20;565;48;0;667;
1/01/2024 12:00;26;15,5;1,6;314;1,6;6,8;8,4;0,5;0,3;34,8;0;19,6;565;51;0;283;
1/01/2024 13:00;21,2;20,8;1,4;310;0,9;5,4;6,4;0,5;0,28;37,4;0;21,1;565;48;0;814;
1/01/2024 14:00;23,1;23,1;2,5;324;0,8;7,3;8,1;0,9;0,36;49,6;0;21,2;564;53;0;464;
1/01/2024 15:00;20;16,4;3,7;296;2,1;9,8;11,8;1,7;0,46;51,7;0;21;563;59;0;540;
1/01/2024 16:00;30,5;13,4;4;293;2,2;9,6;11,8;1,6;0,48;36,5;0;19,7;563;70;0;310;
1/01/2024 17:00;31,7;28,8;3,3;298;1,7;7,8;9,6;1,3;0,41;29,5;0;18,3;563;77;0;181;
1/01/2024 18:00;30,9;20,8;2,9;300;1,4;10,5;11,8;1,3;0,44;24,4;0;17;563;84;0;27;
1/01/2024 19:00;34,7;18,2;2,2;301;1;13,9;14,9;1;0,47;19,9;0;16,1;564;89;0;0;
1/01/2024 20:00;32,8;28,3;1,4;313;1,2;18,2;19,4;0,9;0,54;12,5;0;15,6;564;93;0;0;
1/01/2024 21:00;33,1;20,2;0,7;311;1,5;22,5;24;1,2;0,62;7,8;0;15,6;565;92;0;0;
1/01/2024 22:00;36,8;34,8;0,6;296;2,2;24,9;27,1;1,8;0,65;5,3;0;15,7;565;90;0;0;
1/01/2024 23:00;33,3;26,3;1;296;6,5;27,4;33,9;2,1;0,75;2,9;0;15,6;565;90;0;0;
2/01/2024 0:00;37,5;19,7;0,8;251;10,2;23,1;33,2;3;0,68;1,8;0;15,6;565;85;0;0;
2/01/2024 1:00;47,4;21,7;0,6;243;3,1;15,2;18,2;1,3;0,36;4,2;0;14,7;565;80;0;0;
2/01/2024 2:00;33,4;16,6;0,7;249;5,6;15,4;21,1;1,8;0,28;2,7;0;13,9;564;80;0;0;
2/01/2024 3:00;23,7;14,7;0,7;241;7,7;15,3;22,9;1,7;0,27;2,2;0;13;564;82;0;0;
2/01/2024 4:00;26,9;22;0,6;252;7,1;14,8;21,9;1,5;0,25;1;0;12,4;564;82;0;0;
2/01/2024 5:00;33,7;15,5;0,5;219;20;15,1;35,2;1,6;0,36;0,9;0;12,1;564;84;0;0;
2/01/2024 6:00;29,1;18;0,5;282;38,6;14,5;53,1;0,9;0,73;1,2;0;11,4;564;88;0;0;
2/01/2024 7:00;34,4;21,4;0,5;197;78,4;16,1;94,6;1,1;1,46;1,7;0;11,8;565;85;0;38;
2/01/2024 8:00;40,5;28,6;0,5;236;61;19,7;80,7;1,7;1,17;2,6;0;14,9;565;71;0;214;
2/01/2024 9:00;42;25,1;1;307;18,2;18,7;36,9;1,9;0,7;12,7;0;16,4;565;67;0;387;
2/01/2024 10:00;45,2;26,4;1,2;298;17,5;24,4;41,9;1,2;0,69;20;0;17,3;565;62;0;470;
2/01/2024 11:00;33,1;19,6;1,6;321;6,8;16,2;23;1;0,43;30;0;19,1;565;51;0;682;
2/01/2024 12:00;48,2;30,5;1,4;279;2,7;8,4;11,1;1,1;0,27;32,1;0;21;564;41;0;699;
2/01/2024 13:00;34,5;0;3;301;2,6;11,7;14,3;1,2;0,36;46,1;0;21,2;564;48;0;626;
2/01/2024 14:00;36,8;30,2;3,6;290;1,8;11,8;13,7;1,4;0,35;54,9;0;20,5;563;57;0;500;
2/01/2024 15:00;32,4;27,8;3,7;298;2,1;12,6;14,6;1,9;0,37;54,3;0;19,9;563;63;0;448;
2/01/2024 16:00;33,4;33,4;3,8;304;2,5;11,6;14,1;1,8;0,31;40,2;0;18,9;563;71;0;290;
2/01/2024 17:00;37,6;26,4;3,6;298;1,9;10,5;12,3;1,3;0,32;35,8;0;17,6;563;78;0;122;
2/01/2024 18:00;40,3;24;2,5;295;1,5;14,6;16,1;0;0,43;29,9;0;17;563;78;0;26;
2/01/2024 19:00;29,9;18,1;1,7;322;1,6;21,7;23,3;1,3;0,54;20,1;0;16,2;564;85;0;0;
2/01/2024 20:00;40,8;19,6;1,7;322;1,2;22,3;23,5;1,2;0,51;20,3;0;15,9;564;86;0;0;
2/01/2024 21:00;39,7;19,6;1,1;318;0,7;26,1;26,7;1;0,58;21,8;0;15,8;565;83;0;0;
2/01/2024 22:00;40,4;28,7;0,9;295;1,6;32,7;34,3;0,9;0,76;10,2;0;15,7;565;86;0;0;
