Fecha;PM10;PM2.5;Vel Vient0;Dir Vient0;NO;NO2;NOX;SO2;CO;OZONO;BC ug/m3;Temperatura;Presion Baro;HR;Precipitacion;Rad Solar
1/01/2024 1:00;86;31;2,1;106;4,2;10,4;14,6;0;0,4;0;6,4;11,9;0;82,4;0;0
1/01/2024 2:00;0;75;1,9;105;2,9;7,6;10,5;0;0,4;0;3,1;11,7;0;81,6;0;0
1/01/2024 3:00;42;31;2;105;2,1;8,1;10,3;0;0,4;0;2,3;11,4;0;82,6;0;0
1/01/2024 4:00;45;34;2,1;102;1;8,1;9,2;0;0,3;0;3;11,4;0;81,5;0;0
1/01/2024 5:00;0;38;1,4;112;1,1;5,9;7;0;0,3;0;1,7;11,2;0;81,6;0;0
1/01/2024 6:00;26;21;2;115;2,5;5;7,5;0;0,3;0;1,2;10,1;0;84,8;0;0
1/01/2024 7:00;29;18;1,7;105;3,1;6,2;9,3;0;0,3;0;1,3;10,4;0;83,5;0;14
1/01/2024 8:00;30;11;0,7;93;6,8;10,6;17,4;0;0,4;0;1,8;13;0;74,7;0;192
1/01/2024 9:00;31;25;0,7;51;3,6;10;13,6;0;0,4;0;1,8;16,6;0;59,9;0;391
1/01/2024 10:00;0;25;1,1;110;0,9;4,9;5,8;0;0,2;0;0,9;19;0;48,4;0;508
1/01/2024 11:00;9;9;1,7;107;0,7;3,1;3,8;0;0,2;0;0,7;19;0;47,4;0;457
1/01/2024 12:00;13;5;1,4;121;0,9;3,4;4,3;0;0,2;0;0,7;21,2;0;43,2;0;716
1/01/2024 13:00;23;4;1,2;337;0,6;4,6;5,1;0;0,2;0;0,8;21,4;0;42,4;0;565
1/01/2024 14:00;32;8;1;314;0,8;7,2;8;0;0,3;0;1,2;22,9;0;40,9;0;456
1/01/2024 15:00;48;21;1,1;291;0,9;10,6;11,5;0;0,4;0;2;20,3;0;52,9;0;131
1/01/2024 16:00;50;38;1,6;306;0,8;9,4;10,2;0;0,4;0;1,9;18,6;0;62,5;0;63
1/01/2024 17:00;47;0;1,9;325;1,1;11,1;12,1;0;0,4;0;1,8;17,7;0;69,6;0;90
1/01/2024 18:00;46;0;1,7;321;0,7;13,9;14,6;0;0,4;0;1,9;16;0;76,2;0;16
1/01/2024 19:00;45;0;1,2;333;0,4;17,6;18;0;0,5;0;2,1;14,7;0;82,4;0;0
1/01/2024 20:00;50;0;0,6;336;0,7;24,8;25,5;0;0,6;0;2,5;14,3;0;84,3;0;0
1/01/2024 21:00;46;0;0,2;11;0,9;24,8;25,7;0;0,6;0;2,8;13,5;0;86,1;0;0
1/01/2024 22:00;44;0;1,5;104;2,7;13,4;16;0;0,4;0;2,1;13,3;0;82,2;0;0
1/01/2024 23:00;30;0;2,4;105;1,5;7,3;8,8;0;0,3;0;1,2;12,7;0;77,8;0;0
2/01/2024 0:00;26;0;1,9;100;0,8;5,6;6,4;0;0,2;0;0,9;12,8;0;75,1;0;0
2/01/2024 1:00;16;0;2,2;111;0,6;3,4;4;0;0,2;0;0,7;11,7;0;77,8;0;0
2/01/2024 2:00;20;0;2,5;105;0,4;2,7;3,1;0;0,1;0;0,5;10,7;0;76,8;0;0
2/01/2024 3:00;20;0;2,6;108;0,4;2,5;2,9;0;0,1;0;0,5;10,1;0;77,1;0;0
2/01/2024 4:00;19;0;2,5;112;0,5;3,1;3,6;0;0,1;0;0,7;9,7;0;78,9;0;0
2/01/2024 5:00;27;0;2,4;113;2,1;4,7;6,8;0;0,2;0;1,3;9,2;0;80,5;0;0
2/01/2024 6:00;24;0;2,4;111;4;5,8;9,8;0;0,3;0;1,8;9;0;80,2;0;0
2/01/2024 7:00;27;0;2,6;109;7,3;6,3;13,7;0;0,3;0;1,8;9,1;0;79,2;0;18
2/01/2024 8:00;42;0;0,5;114;18,8;13,4;32,2;0;0,6;0;2,6;12,3;0;72,9;0;188
2/01/2024 9:00;50;0;0,5;16;21,8;21,2;43;0;0,8;0;3,9;16;0;63,6;0;360
2/01/2024 10:00;29;0;0,7;293;9,5;15,9;25,4;0;0,5;0;2,5;19,2;0;50,1;0;513
2/01/2024 11:00;27;0;0,9;265;4,2;12,5;16,8;0;0,4;0;1,9;20,6;0;44,1;0;610
2/01/2024 12:00;22;0;0,6;297;2,1;10,7;12,9;0;0,3;0;1,5;22,1;0;37,4;0;630
2/01/2024 13:00;32;0;0,9;320;1,2;10,5;11,7;0;0,3;0;1,6;23;0;34,6;0;545
2/01/2024 14:00;61;0;1,8;310;1,6;14,4;16;0;0,38;0;3,5;21,7;0;45,9;0;377
2/01/2024 15:00;61;0;1,9;304;1,1;14,3;15,4;0;0,39;0;3,3;20,9;0;51;0;309
2/01/2024 16:00;57;31;2,2;319;1,5;14,7;16,2;0;0,4;0;3,2;19,2;0;60,4;0;165
2/01/2024 17:00;51;32;2,3;316;1,7;17,2;18,9;0;0,43;0;2,9;16,8;0;71,3;0;87
2/01/2024 18:00;48;29;1,4;324;0,8;19,2;20;0;0,47;0;2,8;15,3;0;76,4;0;13
2/01/2024 19:00;50;30;0,9;333;0,4;24,9;25,3;0;0,59;0;2,9;14,3;0;79,7;0;0
2/01/2024 20:00;52;30;1,3;324;0,5;27,9;28,4;0;0,59;0;2,8;14,1;0;82,5;0;0
2/01/2024 21:00;42;24;1,2;321;0,4;26,9;27,2;0;0,52;0;2,5;13,9;0;81,8;0;0
2/01/2024 22:00;51;27;0,3;102;0,9;25,5;26,4;0;0,61;0;2,9;13,6;0;79,3;0;0
2/01/2024 23:00;40;17;1,2;106;2,6;15;17,5;0;0,5;0;2,7;13,4;0;76,9;0;0
3/01/2024 0:00;44;22;0,6;320;1,7;24,7;26,4;0;0,55;0;3,3;12,9;0;81;0;0
3/01/2024 1:00;40;26;0,1;324;0,7;22,8;23,5;0;0,46;0;2,9;12,5;0;82,4;0;0
3/01/2024 2:00;37;24;0,8;106;1,9;21,5;23,4;0;0,51;0;3,1;12,5;0;82,8;0;0
3/01/2024 3:00;27;27;1,3;109;0,8;10,1;10,9;0;0,33;0;2,2;12,1;0;82,2;0;0
3/01/2024 4:00;31;15;0,8;103;1,2;9,7;10,9;0;0,27;0;1,9;12,2;0;81,1;0;0
3/01/2024 5:00;26;23;1,7;106;1,6;5,8;7,3;0;0,2;0;1,5;11,8;0;78,8;0;0
3/01/2024 6:00;24;14;2,2;103;2,8;6,3;9,1;0;0,21;0;1,6;10,6;0;79,7;0;0
3/01/2024 7:00;25;17;2,1;107;5,2;7,5;12,7;0;0,3;0;1,7;10,3;0;78,7;0;19
3/01/2024 8:00;24;15;1,5;105;8,2;8,4;16,6;0;0,37;0;2,2;12;0;73,8;0;187
3/01/2024 9:00;43;15;0,4;23;12,2;20,5;32,6;0;0,56;0;4,5;16,5;0;62,7;0;376
3/01/2024 10:00;80;26;1;62;28,1;44,2;72,3;0;1,16;0;10,2;18,5;0;56,5;0;578
3/01/2024 11:00;50;43;0,6;298;0;0;0;0;0;0;6,4;20,8;0;46,1;0;496
3/01/2024 12:00;47;34;0,3;245;0;0;0;0;0;0;5,6;20,9;0;42;0;463
3/01/2024 13:00;0;0;0,7;320;2,4;16,6;19;0;0,43;0;4,7;20,6;0;43,5;0;391
3/01/2024 14:00;0;0;1,6;294;1,4;16,4;17,9;0;0,43;0;4,2;20,7;0;49,9;0;252
3/01/2024 15:00;0;67;1,9;296;0,9;14,5;15,5;0;0,4;0;3,4;18,7;0;58,7;0;143
3/01/2024 16:00;77;62;2;293;1,9;13,7;15,6;0;0,41;0;2,8;19,6;0;59,6;0;319
3/01/2024 17:00;48;36;1,8;291;1,8;12,4;14,2;0;0,37;0;2,3;18,9;0;60,9;0;173
3/01/2024 18:00;42;21;1,6;309;1,1;16,3;17,4;0;0,41;0;2,5;16,4;0;68,4;0;54
3/01/2024 19:00;40;25;1,2;300;1;18,9;19,9;0;0,49;0;2,4;14,7;0;74,7;0;0
3/01/2024 20:00;39;24;0,9;294;1,1;18,9;19,9;0;0,48;0;2,2;14,4;0;76,1;0;0
3/01/2024 21:00;36;19;0,6;343;1,1;16,9;18;0;0,45;0;1,8;13,9;0;71,9;0;0
3/01/2024 22:00;33;10;1,7;107;5,6;17,1;22,8;0;0,57;0;2,2;13,2;0;75,9;0;0
3/01/2024 23:00;28;18;2,1;105;4;12,5;16,6;0;0,46;0;2,3;12,8;0;75,2;0;0
4/01/2024 0:00;28;12;2,1;109;2,3;10,3;12,6;0;0,35;0;1,7;11,9;0;75,8;0;0
4/01/2024 1:00;27;10;2,2;107;1;7,9;9;0;0,26;0;1,4;11,2;0;75,6;0;0
4/01/2024 2:00;19;12;2,2;108;0,6;6,7;7,3;0;0,2;0;1,2;10,1;0;77,6;0;0
4/01/2024 3:00;19;11;2,3;108;0,4;5,6;6;0;0,15;0;1;9,7;0;75,7;0;0
4/01/2024 4:00;11;6;2,5;112;0,5;3,3;3,8;0;0,11;0;0,7;9,2;0;73,6;0;0
4/01/2024 5:00;10;8;2,5;107;0,9;3,5;4,4;0;0,1;0;0,6;8,9;0;71,6;0;0
4/01/2024 6:00;13;0;2,3;107;2,6;5,7;8,3;0;0,14;0;1;8,5;0;71,4;0;0
4/01/2024 7:00;10;7;2;109;7;9,2;16,2;0;0,3;0;1,9;8,5;0;73;0;11
4/01/2024 8:00;23;7;1,1;106;14,8;12,2;27;0;0,46;0;2,4;10,4;0;68,9;0;198
4/01/2024 9:00;28;10;0,5;23;60,3;43,6;103,9;0;1,47;0;9,9;14,9;0;58,8;0;366
4/01/2024 10:00;83;41;0,5;29;39;50,7;89,6;0;1,37;0;9,7;18,2;0;49,1;0;546
4/01/2024 11:00;69;39;0,7;3;15,2;40,1;55,2;0;1;0;6,6;20,7;0;39,8;0;654
4/01/2024 12:00;49;28;0,8;328;4,4;25,2;29,6;0;0,61;0;4,1;22,2;0;34,6;0;741
4/01/2024 13:00;56;22;1,7;298;2,5;19,1;21,5;0;0,45;0;3,5;22,4;0;36,5;0;500
4/01/2024 14:00;60;27;2,2;303;1,1;14,4;15,5;0;0,36;0;2,9;21,1;0;43,8;0;411
4/01/2024 15:00;58;29;2,3;311;0,8;12,6;13,4;0;0,33;0;2,6;20,3;0;49,6;0;258
4/01/2024 16:00;55;25;1,8;295;1,3;12,6;14;0;0,33;0;2,4;20,8;0;49;0;368
4/01/2024 17:00;48;27;2,1;298;1,1;13,1;14,2;0;0,34;0;2,4;19,7;0;55,1;0;149
4/01/2024 18:00;55;25;1,6;301;0,6;17,2;17,9;0;0,42;0;2,6;17,1;0;65,4;0;45
4/01/2024 19:00;52;27;1;302;0,5;23,7;24,2;0;0,56;0;3;14,7;0;76,4;0;0
4/01/2024 20:00;59;26;0,4;279;1,5;35;36,5;0;0,77;0;3,9;14;0;81,8;0;0
4/01/2024 21:00;52;30;0,5;303;1,7;35,2;36,9;0;0,76;0;3,8;14,2;0;81,3;0;0
4/01/2024 22:00;62;31;0,4;302;3,7;35,6;39,3;0;0,78;0;4,2;13,5;0;80,9;0;0
4/01/2024 23:00;62;35;0,3;108;5,7;34,2;39,9;0;0,85;0;5,4;13,3;0;81,3;0;0
5/01/2024 0:00;55;34;0;173;6,4;27,1;33,5;0;0,71;0;4,7;13;0;79,9;0;0
5/01/2024 1:00;56;30;0,5;309;2;26,9;28,9;0;0,55;0;4,6;12,7;0;80,4;0;0
