Fecha inicial;Fecha final;PM10
3/02/2024 15:00;3/02/2024 15:59;13,68
3/02/2024 14:00;3/02/2024 14:59;12,88
3/02/2024 13:00;3/02/2024 13:59;16,2
3/02/2024 12:00;3/02/2024 12:59;19,13
3/02/2024 11:00;3/02/2024 11:59;24,26
3/02/2024 10:00;3/02/2024 10:59;45,64
3/02/2024 9:00;3/02/2024 9:59;58,19
3/02/2024 8:00;3/02/2024 8:59;48,52
3/02/2024 7:00;3/02/2024 7:59;46,99
3/02/2024 6:00;3/02/2024 6:59;50,71
3/02/2024 5:00;3/02/2024 5:59;35,54
3/02/2024 4:00;3/02/2024 4:59;38,38
3/02/2024 3:00;3/02/2024 3:59;25,71
3/02/2024 2:00;3/02/2024 2:59;23,57
3/02/2024 1:00;3/02/2024 1:59;23,32
3/02/2024 0:00;3/02/2024 0:59;27,76
2/02/2024 23:00;2/02/2024 23:59;29,86
2/02/2024 22:00;2/02/2024 22:59;31,71
2/02/2024 21:00;2/02/2024 21:59;29,34
2/02/2024 20:00;2/02/2024 20:59;38,78
2/02/2024 19:00;2/02/2024 19:59;41,78
2/02/2024 18:00;2/02/2024 18:59;39,38
2/02/2024 17:00;2/02/2024 17:59;27,93
2/02/2024 16:00;2/02/2024 16:59;17,74
2/02/2024 15:00;2/02/2024 15:59;19,74
2/02/2024 14:00;2/02/2024 14:59;24,65
2/02/2024 13:00;2/02/2024 13:59;31,48
2/02/2024 12:00;2/02/2024 12:59;30,65
2/02/2024 11:00;2/02/2024 11:59;39,36
2/02/2024 10:00;2/02/2024 10:59;42,41
2/02/2024 9:00;2/02/2024 9:59;49,24
2/02/2024 8:00;2/02/2024 8:59;79,57
2/02/2024 7:00;2/02/2024 7:59;52,62
2/02/2024 6:00;2/02/2024 6:59;36,14
2/02/2024 5:00;2/02/2024 5:59;36,17
2/02/2024 4:00;2/02/2024 4:59;26,84
2/02/2024 3:00;2/02/2024 3:59;27,79
2/02/2024 2:00;2/02/2024 2:59;24,98
2/02/2024 1:00;2/02/2024 1:59;30,03
2/02/2024 0:00;2/02/2024 0:59;28,29
1/02/2024 23:00;1/02/2024 23:59;35,91
1/02/2024 22:00;1/02/2024 22:59;45,06
1/02/2024 21:00;1/02/2024 21:59;47,16
1/02/2024 20:00;1/02/2024 20:59;41,07
1/02/2024 19:00;1/02/2024 19:59;36,19
1/02/2024 18:00;1/02/2024 18:59;35,84
1/02/2024 17:00;1/02/2024 17:59;55,58
1/02/2024 16:00;1/02/2024 16:59;36,6
1/02/2024 15:00;1/02/2024 15:59;25,85
1/02/2024 14:00;1/02/2024 14:59;26,62
1/02/2024 13:00;1/02/2024 13:59;22,81
1/02/2024 12:00;1/02/2024 12:59;30,54
1/02/2024 11:00;1/02/2024 11:59;39,97
1/02/2024 10:00;1/02/2024 10:59;49,99
1/02/2024 9:00;1/02/2024 9:59;80,13
1/02/2024 8:00;1/02/2024 8:59;108,03
1/02/2024 7:00;1/02/2024 7:59;46,53
1/02/2024 6:00;1/02/2024 6:59;40,57
1/02/2024 5:00;1/02/2024 5:59;36,38
1/02/2024 4:00;1/02/2024 4:59;29,94
1/02/2024 3:00;1/02/2024 3:59;17,23
1/02/2024 2:00;1/02/2024 2:59;20,46
1/02/2024 1:00;1/02/2024 1:59;24,42
1/02/2024 0:00;1/02/2024 0:59;35,31
31/01/2024 23:00;31/01/2024 23:59;27,74
31/01/2024 22:00;31/01/2024 22:59;25,05
31/01/2024 21:00;31/01/2024 21:59;28,37
31/01/2024 20:00;31/01/2024 20:59;59,65
