Fecha inicial;PM10
3/02/2024 15:00;13.68
3/02/2024 14:00;12.88
3/02/2024 13:00;16.2
3/02/2024 12:00;19.13
3/02/2024 11:00;24.26
3/02/2024 10:00;45.64
3/02/2024 9:00;58.19
3/02/2024 8:00;48.52
3/02/2024 7:00;46.99
3/02/2024 6:00;50.71
3/02/2024 5:00;35.54
3/02/2024 4:00;38.38
3/02/2024 3:00;25.71
3/02/2024 2:00;23.57
3/02/2024 1:00;23.32
3/02/2024 0:00;27.76
2/02/2024 23:00;29.86
2/02/2024 22:00;31.71
2/02/2024 21:00;29.34
2/02/2024 20:00;38.78
2/02/2024 19:00;41.78
2/02/2024 18:00;39.38
2/02/2024 17:00;27.93
2/02/2024 16:00;17.74
2/02/2024 15:00;19.74
2/02/2024 14:00;24.65
2/02/2024 13:00;31.48
2/02/2024 12:00;30.65
2/02/2024 11:00;39.36
2/02/2024 10:00;42.41
2/02/2024 9:00;49.24
2/02/2024 8:00;79.57
2/02/2024 7:00;52.62
2/02/2024 6:00;36.14
2/02/2024 5:00;36.17
2/02/2024 4:00;26.84
2/02/2024 3:00;27.79
2/02/2024 2:00;24.98
2/02/2024 1:00;30.03
2/02/2024 0:00;28.29
1/02/2024 23:00;35.91
1/02/2024 22:00;45.06
1/02/2024 21:00;47.16
1/02/2024 20:00;41.07
1/02/2024 19:00;36.19
1/02/2024 18:00;35.84
1/02/2024 17:00;55.58
1/02/2024 16:00;36.6
1/02/2024 15:00;25.85
1/02/2024 14:00;26.62
1/02/2024 13:00;22.81
1/02/2024 12:00;30.54
1/02/2024 11:00;39.97
1/02/2024 10:00;49.99
1/02/2024 9:00;80.13
1/02/2024 8:00;108.03
1/02/2024 7:00;46.53
1/02/2024 6:00;40.57
1/02/2024 5:00;36.38
1/02/2024 4:00;29.94
1/02/2024 3:00;17.23
1/02/2024 2:00;20.46
1/02/2024 1:00;24.42
1/02/2024 0:00;35.31
31/01/2024 23:00;27.74
31/01/2024 22:00;25.05
31/01/2024 21:00;28.37
31/01/2024 20:00;59.65
31/01/2024 19:00;45.77
31/01/2024 18:00;39.54
31/01/2024 17:00;39.73
31/01/2024 16:00;30.38
31/01/2024 15:00;25.28
31/01/2024 14:00;32.73
31/01/2024 13:00;34.02
31/01/2024 12:00;41.97
31/01/2024 11:00;61.6
31/01/2024 10:00;107.03
31/01/2024 9:00;107.25
31/01/2024 8:00;114.3
31/01/2024 7:00;72.43
31/01/2024 6:00;70.94
31/01/2024 5:00;54.6
31/01/2024 4:00;69.34
31/01/2024 3:00;47.28
31/01/2024 2:00;42.02
31/01/2024 1:00;34.26
31/01/2024 0:00;33.3
30/01/2024 23:00;36.02
30/01/2024 22:00;40.33
30/01/2024 21:00;35.03
30/01/2024 20:00;39.94
30/01/2024 19:00;39.36
30/01/2024 18:00;57.66
30/01/2024 17:00;51.35
30/01/2024 16:00;38.01
30/01/2024 15:00;80.7
30/01/2024 14:00;85.43
15/12/2023 14:00;23.84
15/12/2023 13:00;30.89
15/12/2023 12:00;35.97
15/12/2023 11:00;45.66
15/12/2023 10:00;45.95
15/12/2023 9:00;38.97
15/12/2023 8:00;29.82
15/12/2023 7:00;24.3
15/12/2023 6:00;19.54
15/12/2023 5:00;22.79
15/12/2023 4:00;20.66
15/12/2023 3:00;36.45
15/12/2023 2:00;27.47
15/12/2023 1:00;24.75
15/12/2023 0:00;36.64
14/12/2023 23:00;37.49
14/12/2023 22:00;47.18
14/12/2023 21:00;61.97
14/12/2023 20:00;59.35
14/12/2023 19:00;47.9
14/12/2023 18:00;47.17
14/12/2023 17:00;24.54
14/12/2023 16:00;20.3
14/12/2023 15:00;25.34
14/12/2023 14:00;24.64
14/12/2023 13:00;24.11
14/12/2023 12:00;74.89
14/12/2023 11:00;54.37
14/12/2023 10:00;60.4
14/12/2023 9:00;85.94
14/12/2023 8:00;40.39
14/12/2023 7:00;48.93
14/12/2023 6:00;69.66
14/12/2023 5:00;41.69
14/12/2023 4:00;43.91
14/12/2023 3:00;22.4
14/12/2023 2:00;30.17
14/12/2023 1:00;25.96
14/12/2023 0:00;24.0
13/12/2023 23:00;32.57
13/12/2023 22:00;28.04
13/12/2023 21:00;23.97
13/12/2023 20:00;33.81
13/12/2023 19:00;39.21
13/12/2023 18:00;62.1
13/12/2023 17:00;31.97
13/12/2023 16:00;55.39
13/12/2023 15:00;52.05
13/12/2023 14:00;60.77
13/12/2023 13:00;26.09
13/12/2023 12:00;77.6
13/12/2023 11:00;40.26
13/12/2023 9:00;113.94
13/12/2023 8:00;85.5
13/12/2023 7:00;64.94
13/12/2023 6:00;80.1
13/12/2023 5:00;57.33
13/12/2023 4:00;29.36
13/12/2023 3:00;35.02
13/12/2023 2:00;37.36
13/12/2023 1:00;15.52
13/12/2023 0:00;19.89
12/12/2023 23:00;19.63
12/12/2023 22:00;29.41
12/12/2023 21:00;53.23
12/12/2023 19:00;34.04
12/12/2023 18:00;23.05
12/12/2023 17:00;18.88
12/12/2023 16:00;20.08
12/12/2023 15:00;37.24
12/12/2023 14:00;120.1
12/12/2023 13:00;109.6
12/12/2023 12:00;112.25
12/12/2023 11:00;86.78
12/12/2023 10:00;70.07
12/12/2023 9:00;111.72
12/12/2023 8:00;132.19
12/12/2023 7:00;62.12
12/12/2023 6:00;47.63
12/12/2023 5:00;56.55
12/12/2023 4:00;46.74
12/12/2023 3:00;51.57
12/12/2023 2:00;43.66
12/12/2023 1:00;57.71
12/12/2023 0:00;77.06
11/12/2023 23:00;59.99
11/12/2023 22:00;52.79
11/12/2023 21:00;29.35
11/12/2023 20:00;26.31
11/12/2023 19:00;61.6
11/12/2023 18:00;89.53
11/12/2023 17:00;37.43
11/12/2023 16:00;52.95
11/12/2023 15:00;44.32
11/12/2023 14:00;23.08
