Fecha inicial;PM2.5
3/02/2024 15:00;7,44
3/02/2024 14:00;8
3/02/2024 13:00;10,98
3/02/2024 12:00;13,43
3/02/2024 11:00;17,45
3/02/2024 10:00;25,76
3/02/2024 9:00;32,05
3/02/2024 8:00;29,54
3/02/2024 7:00;26,17
3/02/2024 6:00;22,65
3/02/2024 5:00;17,55
3/02/2024 4:00;17,42
3/02/2024 3:00;14,48
3/02/2024 2:00;12,78
3/02/2024 1:00;14,98
3/02/2024 0:00;17,1
2/02/2024 23:00;19,71
2/02/2024 22:00;19,58
2/02/2024 21:00;18,14
2/02/2024 20:00;20,89
2/02/2024 19:00;22,4
2/02/2024 18:00;16,49
2/02/2024 17:00;9,03
2/02/2024 16:00;7,96
2/02/2024 15:00;9,36
2/02/2024 14:00;10,31
2/02/2024 13:00;12,17
2/02/2024 12:00;12,83
2/02/2024 11:00;12,96
2/02/2024 10:00;16,83
2/02/2024 9:00;25,97
2/02/2024 8:00;32,5
2/02/2024 7:00;23,36
2/02/2024 6:00;20,43
2/02/2024 5:00;18,88
2/02/2024 4:00;16,79
2/02/2024 3:00;17,52
2/02/2024 2:00;15,74
2/02/2024 1:00;18,17
2/02/2024 0:00;17,64
1/02/2024 23:00;19,69
1/02/2024 22:00;24,16
1/02/2024 21:00;24,01
1/02/2024 20:00;22,85
1/02/2024 19:00;21,25
1/02/2024 18:00;22,12
1/02/2024 17:00;22,39
1/02/2024 16:00;13,98
1/02/2024 15:00;12,7
1/02/2024 14:00;12,73
1/02/2024 13:00;10,16
1/02/2024 12:00;13,39
1/02/2024 11:00;17,94
1/02/2024 10:00;26,98
1/02/2024 9:00;35,78
1/02/2024 8:00;37,52
1/02/2024 7:00;26,12
1/02/2024 6:00;24,19
1/02/2024 5:00;19,47
1/02/2024 4:00;14,61
1/02/2024 3:00;12,61
1/02/2024 2:00;15,23
1/02/2024 1:00;16,61
1/02/2024 0:00;20,27
31/01/2024 23:00;17,43
31/01/2024 22:00;16,01
31/01/2024 21:00;18,83
31/01/2024 20:00;25,48
31/01/2024 19:00;27,47
31/01/2024 18:00;24,82
31/01/2024 17:00;18,35
31/01/2024 16:00;11,62
31/01/2024 15:00;9,75
31/01/2024 14:00;11,88
31/01/2024 13:00;15,11
31/01/2024 12:00;15,5
31/01/2024 11:00;30,27
31/01/2024 10:00;62,09
31/01/2024 9:00;57,03
31/01/2024 8:00;59,32
31/01/2024 7:00;41,93
31/01/2024 6:00;47,34
31/01/2024 5:00;34,66
31/01/2024 4:00;34,25
31/01/2024 3:00;28,63
31/01/2024 2:00;25,77
31/01/2024 1:00;23,98
31/01/2024 0:00;23,06
30/01/2024 23:00;23,04
30/01/2024 22:00;21,57
30/01/2024 21:00;19,56
30/01/2024 20:00;19,81
30/01/2024 19:00;18,14
30/01/2024 18:00;22,56
30/01/2024 17:00;21,5
30/01/2024 16:00;14,7
30/01/2024 15:00;17,05
30/01/2024 14:00;23,77
10/01/2024 17:00;1,05
10/01/2024 16:00;2
10/01/2024 15:00;2,14
10/01/2024 14:00;5,28
10/01/2024 13:00;11,03
10/01/2024 12:00;12,37
10/01/2024 11:00;20,64
10/01/2024 10:00;33,59
10/01/2024 9:00;25,55
10/01/2024 8:00;36,59
10/01/2024 7:00;28,32
10/01/2024 6:00;34,36
10/01/2024 5:00;20,95
10/01/2024 4:00;19,77
10/01/2024 3:00;14,72
10/01/2024 2:00;9,41
10/01/2024 1:00;17,86
10/01/2024 0:00;14,91
9/01/2024 23:00;13,18
9/01/2024 22:00;16,86
9/01/2024 21:00;14,14
9/01/2024 20:00;16,63
9/01/2024 19:00;9,05
9/01/2024 18:00;9,95
9/01/2024 17:00;8,86
9/01/2024 16:00;6,09
9/01/2024 15:00;8,05
9/01/2024 14:00;9,28
9/01/2024 13:00;15
9/01/2024 12:00;16,2
9/01/2024 11:00;41,23
9/01/2024 10:00;45,72
9/01/2024 9:00;39,95
9/01/2024 8:00;37,94
9/01/2024 7:00;16,55
9/01/2024 6:00;27,77
9/01/2024 5:00;23,37
9/01/2024 4:00;30,36
9/01/2024 3:00;16,77
9/01/2024 2:00;12,05
9/01/2024 1:00;13
9/01/2024 0:00;13,09
8/01/2024 23:00;15,09
8/01/2024 22:00;16,59
8/01/2024 21:00;8,18
8/01/2024 20:00;12,23
8/01/2024 19:00;16,49
8/01/2024 18:00;5,95
8/01/2024 17:00;5
8/01/2024 16:00;5
8/01/2024 15:00;5,09
8/01/2024 14:00;7,23
8/01/2024 13:00;11,97
8/01/2024 12:00;11,23
8/01/2024 11:00;16,32
8/01/2024 10:00;22,86
8/01/2024 9:00;20,28
8/01/2024 8:00;25,54
8/01/2024 7:00;15,86
8/01/2024 6:00;12,91
8/01/2024 5:00;11,04
8/01/2024 4:00;11,96
8/01/2024 3:00;11,12
8/01/2024 2:00;14,04
8/01/2024 1:00;14,96
8/01/2024 0:00;14,07
7/01/2024 23:00;16,14
7/01/2024 22:00;19,82
7/01/2024 21:00;14,82
7/01/2024 20:00;10,25
7/01/2024 19:00;16,58
7/01/2024 18:00;4,89
7/01/2024 17:00;2,04
7/01/2024 16:00;3,08
7/01/2024 15:00;5,08
7/01/2024 14:00;7,04
7/01/2024 13:00;8,07
7/01/2024 12:00;11,89
7/01/2024 11:00;9,63
7/01/2024 10:00;27,84
7/01/2024 9:00;50,05
7/01/2024 8:00;23,93
7/01/2024 7:00;21,72
7/01/2024 6:00;13,89
7/01/2024 5:00;11,18
7/01/2024 4:00;15,86
7/01/2024 3:00;12,11
7/01/2024 2:00;14,75
7/01/2024 1:00;8
7/01/2024 0:00;8,09
6/01/2024 23:00;10
6/01/2024 22:00;10,05
6/01/2024 21:00;11,05
6/01/2024 20:00;11,77
6/01/2024 19:00;7
6/01/2024 18:00;6,95
6/01/2024 17:00;5,82
6/01/2024 16:00;2,09
6/01/2024 15:00;4,18
6/01/2024 14:00;8,14
6/01/2024 13:00;11,05
6/01/2024 12:00;12,64
6/01/2024 11:00;26,32
6/01/2024 10:00;32,72
6/01/2024 9:00;27,28
