Fecha;PM10;PM2.5;Vel Viento;Dir Viento;NO;NO2;NOX;SO2;CO;OZONO;BC ug/m3;Temperatura;Presion Baro;HR;Precipitacion;Rad Solar
1/01/2024 1:00;107;86;1,3;326;9,8;11,8;21,5;1,9;1,06;8,7;5,1;0;564;77,8;0;0
1/01/2024 2:00;57;48;0,6;326;4,3;7,1;11,4;1,6;0,81;11;3,7;0;564;76,1;0;0
1/01/2024 3:00;67;49;0,4;325;9,6;10,2;19,8;1,2;1,03;5;6,8;0;564;74,9;0;0
1/01/2024 4:00;47;35;0,4;112;6,5;9,2;15,7;1,6;0,88;5;4,2;0;564;75,7;0;0
1/01/2024 5:00;40;35;0,8;121;4,5;7;11,4;1,6;0,77;7,7;4,4;0;564;73;0;0
1/01/2024 6:00;44;26;0,4;115;7,8;9,9;17,6;2,7;0,81;5,6;3,5;0;564;73,1;0;0
1/01/2024 7:00;67;38;0,5;117;40,7;12;52,7;2,3;1,34;3,9;7,3;0;564;79,9;0;18
1/01/2024 8:00;42;25;1;106;15,9;6,8;22,7;3,2;0,79;8,6;3,1;0;565;68,6;0;169
1/01/2024 9:00;14;12;0,6;121;4,6;0,9;5,4;1;0,57;16,8;1,1;0;565;49,2;0;366
1/01/2024 10:00;20;17;0,6;25;5;2;7,1;0,9;0,59;23,4;1,1;0;565;43,8;0;313
1/01/2024 11:00;16;8;0,9;125;3,3;0,5;3,7;0,8;0,58;25,8;1,1;0;565;43,1;0;346
1/01/2024 12:00;12;10;0,1;107;4,2;0,8;5;0,5;0,6;25,7;1,1;0;564;40,5;0;404
1/01/2024 13:00;28;14;1,1;221;4,6;3;7,6;0,7;0,67;33,9;1,5;0;564;40,7;0;675
1/01/2024 14:00;44;24;2,5;237;3,8;5,2;9,1;1,4;0,76;52,1;2,2;0;563;44,1;0;623
1/01/2024 15:00;48;33;3,4;235;5,6;6,6;12,2;2,3;0,87;47,4;2,3;0;563;49;0;393
1/01/2024 16:00;39;28;4;225;5,9;4,1;10;2,3;0,82;31,2;1,9;0;562;55,1;0;276
1/01/2024 17:00;42;32;3,1;252;6,4;5,8;12,2;2,4;0,9;25,8;2,2;0;562;62,1;0;149
1/01/2024 18:00;50;29;2,5;255;7,1;9;16,1;2;1,02;20,7;2,3;0;563;67,9;0;17
1/01/2024 19:00;50;29;2,1;261;8,1;11,3;19,4;2,3;1,05;15,5;2,5;0;563;73,3;0;0
1/01/2024 20:00;61;31;1,2;297;12,8;14,5;27,4;2,2;1,18;11,2;2,9;0;564;75,3;0;0
1/01/2024 21:00;60;29;0,8;298;15;20,5;35,6;2,2;1,31;5,2;5,2;0;564;77,1;0;0
1/01/2024 22:00;77;40;0,4;291;33,4;20;53,4;2,6;1,55;3,7;5,6;0;565;75,8;0;0
1/01/2024 23:00;75;38;0,4;291;30,8;18,7;49,5;2,5;1,46;3,4;6,1;0;565;77,3;0;0
2/01/2024 0:00;33;19;0,6;115;7,9;9,6;17,6;1,3;0,77;4,1;2,6;0;564;75;0;0
2/01/2024 1:00;29;14;0,5;135;8,5;8,8;17,3;1,3;0,72;3,4;2;0;564;72,7;0;0
2/01/2024 2:00;26;19;0,7;136;5,6;7,9;13,5;1,5;0,61;3,8;1,8;0;563;73,5;0;0
2/01/2024 3:00;23;14;0,6;119;6,1;7,5;13,6;1,5;0,58;3,3;1,8;0;563;73,5;0;0
2/01/2024 4:00;24;14;0,7;130;7,6;7,3;14,9;1,2;0,56;2,7;1,8;0;563;73,4;0;0
2/01/2024 5:00;21;10;1;122;9,6;7,3;16,9;1,1;0,57;3;1,9;0;563;72,3;0;0
2/01/2024 6:00;25;10;0,7;109;24;8,7;32,8;1,9;0,72;2,6;2,9;0;564;72,1;0;0
2/01/2024 7:00;32;14;0,6;140;29,8;9,9;39,7;2,4;0,91;2,9;3,7;0;564;75,2;0;23
2/01/2024 8:00;27;19;1,2;125;19,6;7,6;27,2;1,9;0,84;6,6;3,6;0;564;66,6;0;161
2/01/2024 9:00;37;24;0,5;3;15;6,7;21,7;1,2;0,85;14,6;3;0;565;53,6;0;301
2/01/2024 10:00;25;18;0,4;162;10,1;8;18,1;1,1;0,8;21,5;2,9;0;565;46;0;515
2/01/2024 11:00;16;14;1,4;193;6,5;3,3;9,7;1,3;0,63;22,9;1,9;0;564;39,6;0;646
2/01/2024 12:00;17;11;1,2;203;4,8;2;6,7;1,5;0,58;26,9;1,2;0;564;34,5;0;593
2/01/2024 13:00;46;22;2,5;237;6,5;7,4;13,9;1,6;0,78;39,2;3,5;0;563;39,1;0;606
2/01/2024 14:00;60;32;3,3;237;6,8;10,7;17,5;2,3;0,89;51,2;4,2;0;563;46,5;0;443
2/01/2024 15:00;69;31;3,5;231;7,7;11,6;19,3;2,7;0,95;47,5;4,5;0;562;50,5;0;370
2/01/2024 16:00;57;33;3,4;243;8,7;9,2;17,9;2,4;0,93;34,8;3,6;0;562;56,2;0;241
2/01/2024 17:00;52;27;3,1;254;8,3;10,9;19,3;2,3;0,98;28,4;4,9;0;562;64,9;0;100
2/01/2024 18:00;60;27;2,4;251;10,9;15,7;26,6;2,5;1,12;22,7;5,3;0;563;68,2;0;15
2/01/2024 19:00;70;34;1,4;272;15,9;23,2;39,1;2;1,49;12,7;6,8;0;563;73;0;0
2/01/2024 20:00;66;32;1,3;262;21,2;27,8;49;2,8;1,46;6,8;7,7;0;563;74,5;0;0
2/01/2024 21:00;66;34;1,6;242;15,9;25,6;41,5;3,3;1,26;9,2;6,1;0;564;74,5;0;0
2/01/2024 22:00;57;30;0,6;248;10,7;23;33,7;4;1,05;11,9;4,3;0;564;74,5;0;0
2/01/2024 23:00;61;31;1,2;264;12,5;24,3;36,8;3,8;1,13;11;6,4;0;564;72,7;0;0
3/01/2024 0:00;63;25;1;276;13,5;22,3;35,8;2,5;1,07;8,3;6,2;0;564;71,9;0;0
3/01/2024 1:00;76;44;0,5;246;26,2;23,8;49,9;6,2;1,17;3,4;8,2;0;564;76,9;0;0
3/01/2024 2:00;67;28;0,5;152;15,5;15,1;30,5;2,4;0,81;2,6;4,5;0;564;72,6;0;0
3/01/2024 3:00;51;28;0,4;134;8,7;13,9;22,7;1,9;0,76;3;4,4;0;563;71,5;0;0
3/01/2024 4:00;57;26;0,6;131;7,2;13,9;21,1;1,6;0,75;3,6;4,3;0;563;70,7;0;0
3/01/2024 5:00;39;21;0,7;139;8,1;13;21,1;1,5;0,72;4,2;3,7;0;563;72,5;0;0
3/01/2024 6:00;41;26;0,7;149;17,5;15,4;32,9;2,7;0,84;3,2;5,6;0;564;71,1;0;0
3/01/2024 7:00;42;21;0,6;132;30,4;14,9;45,3;3,8;1,06;3,4;5,3;0;564;72,8;0;21
3/01/2024 8:00;60;25;0,6;171;33,9;15,8;49,7;5,7;1,18;6;6,5;0;565;65,4;0;119
3/01/2024 9:00;98;43;1,2;254;53,7;34,2;87,9;5,4;1,92;11,5;12,3;0;565;54,5;0;314
3/01/2024 10:00;101;49;1,1;326;46,3;46,1;92,4;5;1,71;19,1;15,4;0;565;51;0;403
3/01/2024 11:00;53;28;0,3;330;19,9;25,7;45,7;3,1;1,04;28;7,5;0;564;44,2;0;341
3/01/2024 12:00;53;32;0,5;237;14,4;21,9;36,3;2,2;1,01;37,7;6,3;0;564;38,6;0;711
3/01/2024 13:00;67;33;2,8;241;9,2;16,6;25,7;2;0,96;45;5,7;0;563;44,8;0;416
3/01/2024 14:00;69;32;4;239;7;12,9;19,9;2,6;0,9;57;5;0;563;48,8;0;536
3/01/2024 15:00;73;30;4;241;7,8;12,8;20,6;2,5;0,94;51;5,1;0;562;53,4;0;346
3/01/2024 16:00;46;31;4;234;8,5;10,9;19,4;2,1;0,91;40,4;4,9;0;562;56,7;0;358
3/01/2024 17:00;49;23;3,3;243;9,7;12;21,7;2,7;0,96;32,8;5,7;0;563;57,3;0;163
3/01/2024 18:00;41;26;2,6;250;9,8;15,3;25,2;2,5;1,08;28,2;4,4;0;563;61,8;0;27
3/01/2024 19:00;47;23;2,4;242;12;20,3;32,3;4,2;1,26;20,4;4,7;0;563;67,3;0;0
3/01/2024 20:00;42;23;1,7;245;12,2;19,2;31,5;2,6;1,16;15;5,2;0;564;68,6;0;0
3/01/2024 21:00;35;16;1;256;14,1;16,5;30,6;1,7;1,06;11,4;4;0;564;63,7;0;0
3/01/2024 22:00;25;14;1,1;249;12;16,5;28,5;1,2;0,98;10,1;3,5;0;564;55,8;0;0
3/01/2024 23:00;28;15;0,7;253;12,1;16,6;28,7;2,2;0,91;9,2;3,3;0;564;56,3;0;0
4/01/2024 0:00;50;23;0,5;240;17;17,3;34,4;1,8;0,91;3,8;5,3;0;564;64,8;0;0
4/01/2024 1:00;75;53;0,3;161;11,8;15;26,7;1,5;0,73;5;7,4;0;564;69,6;0;0
4/01/2024 2:00;44;19;0,7;132;11,6;13,1;24,7;1,1;0,67;3,6;3,6;0;564;70,6;0;0
4/01/2024 3:00;22;6;1,3;125;6;10,4;16,4;1;0,55;5;2,4;0;564;69,8;0;0
4/01/2024 4:00;23;4;1;126;4,7;8,7;13,4;1;0,54;7,1;1,9;0;563;69,3;0;0
4/01/2024 5:00;24;7;0,9;139;10,4;13,4;23,8;1,2;0,62;3,4;3;0;564;70,9;0;0
4/01/2024 6:00;24;12;0,6;153;17,7;14,5;32,2;1,2;0,73;2,8;4,3;0;564;71,5;0;0
4/01/2024 7:00;28;17;0,7;121;19,9;13,5;33,4;1,2;0,84;4,6;4,1;0;564;71,7;0;21
4/01/2024 8:00;51;20;0,2;63;45,6;20,6;66,2;2,8;1,43;7,5;7,5;0;565;57,7;0;156
4/01/2024 9:00;106;52;0,9;318;75,2;44;119,2;6,4;2,14;11,6;16,4;0;565;51,7;0;325
4/01/2024 10:00;81;41;1;296;45,4;43,3;88,7;5,3;1,57;19,9;13,3;0;565;44,7;0;498
4/01/2024 11:00;52;22;1;318;24,2;27,9;52,1;4,6;1,1;29,3;9,7;0;565;38,2;0;635
4/01/2024 12:00;43;21;1;275;12,1;19,4;31,5;3,4;0,92;41,4;6,6;0;564;33,7;0;648
4/01/2024 13:00;68;27;3,5;239;8,1;14,1;22,2;3,2;0,84;51,9;4,9;0;564;39,2;0;677
4/01/2024 14:00;71;29;4;234;7,4;11,6;19;3,1;0,8;55,3;4,5;0;563;43,9;0;574
4/01/2024 15:00;61;26;3,9;239;7,4;11,9;19,2;2,3;0,87;53,5;6,5;0;563;47,6;0;453
4/01/2024 16:00;56;27;3,2;233;8;13,5;21,4;2,2;0,93;49;6,5;0;563;52,2;0;309
4/01/2024 17:00;56;23;3,3;239;10,2;14,6;24,8;2,5;0,98;44;6;0;563;54;0;178
4/01/2024 18:00;55;20;2,5;248;9,8;18,7;28,5;2,6;1,16;32,9;4,6;0;563;59,9;0;29
4/01/2024 19:00;63;33;2;249;11;22,1;33,2;4;1,3;23;6;0;564;69;0;0
4/01/2024 20:00;63;31;1;250;11,3;26,5;37,8;3,7;1,27;15,9;6,6;0;564;73,5;0;0
4/01/2024 21:00;83;44;0,4;199;10,7;36,6;47,4;2,5;1,31;7,1;11,6;0;564;74,2;0;0
4/01/2024 22:00;76;46;0,4;160;7,4;31,7;39,1;2;1,3;6,5;8;0;565;74,7;0;0
4/01/2024 23:00;75;39;0,4;160;9,7;27,2;36,9;1,5;1,15;6;6,4;0;565;75,5;0;0
5/01/2024 0:00;65;33;0,6;174;8,9;21,8;30,7;1,4;0,93;6,7;6,2;0;565;71,9;0;0
5/01/2024 1:00;63;26;0,7;135;11,6;22,2;33,8;1,4;0,85;4,5;5,6;0;564;71;0;0
5/01/2024 2:00;37;28;0,5;157;4,1;13,6;17,7;1,5;0,68;9,7;3,1;0;564;69,1;0;0
5/01/2024 3:00;27;23;0,6;112;4;11,8;15,8;1,2;0,63;10,2;3;0;563;69,5;0;0
