fecha;PM10;PM2.5;Vel Viento;Dir Viento ;NO;NO2;NOX;SO2;CO;OZONO;BC;Temperatura;Presion Baro;HR;Precipitacion;Rad Solar
1/01/2024 1:00;59,9;33,8;0;0;13,8;16,3;30,2;1,8;0,87;2,8;0;14,3;563;0;0;0
1/01/2024 2:00;116,4;72,2;0;0;8,2;14,5;22,7;1,7;0,76;3,4;0;13,9;563;0;0;0
1/01/2024 3:00;126,5;73,3;0;0;11,5;12,8;24,3;1,6;0,65;2,7;0;12,9;562;0;0;0
1/01/2024 4:00;75,5;53;0;0;6,1;9,7;15,8;0,5;0,48;3,3;0;12,1;562;0;0;0
1/01/2024 5:00;52,6;47,5;0;0;3,8;10,9;14,8;8,2;0,39;5,5;0;12,7;562;0;0;0
1/01/2024 6:00;49,6;44,6;0;0;3,7;9,7;13,4;7,8;0,37;6,6;0;12,8;563;0;0;0
1/01/2024 7:00;48,2;41,8;0;0;7,9;10,2;18,1;4,3;0,44;3,5;0;12;563;0;0;21
1/01/2024 8:00;60,1;29,7;0;0;5,4;6,7;12,2;6,7;0,35;8,5;0;14,8;563;0;0;243
1/01/2024 9:00;41,3;23,7;0;0;2,4;4;6,5;2,4;0,23;15,1;0;17,3;563;0;0;403
1/01/2024 10:00;25;25;0;0;1,4;3,1;4,5;2,9;0,21;15,6;0;18,7;564;0;0;599
1/01/2024 11:00;0;17,6;0;0;2,5;3,6;6,1;1;0,21;18,4;0;19,1;563;0;0;584
1/01/2024 12:00;0;12,4;0;0;3,1;4,1;7,2;0;0,29;20;0;19,3;563;0;0;405
1/01/2024 13:00;8,7;8,7;0;0;1;3,3;4,3;0,7;0,22;22,6;0;20,4;563;0;0;547
1/01/2024 14:00;41,9;7,3;0;0;3;8,7;11,6;1,8;0,39;38,6;0;20,8;562;0;0;395
1/01/2024 15:00;22;5,7;0;0;1,5;7,3;8,8;2;0,39;36,9;0;20,5;561;0;0;241
1/01/2024 16:00;34,3;11,6;0;0;3,8;7,9;11,8;1,6;0,42;21,5;0;20,4;561;0;0;230
1/01/2024 17:00;33;9,2;0;0;1,5;6,9;8,5;1,6;0,43;25,9;0;19,6;561;0;0;117
1/01/2024 18:00;38,1;7,2;0;0;1;8,5;9,5;1,2;0,51;21;0;17,8;561;0;0;22
1/01/2024 19:00;36,5;15,6;0;0;1,5;15,6;17,1;1,7;0,68;11,8;0;16,4;562;0;0;0
1/01/2024 20:00;29,9;11,2;0;0;1,3;16,4;17,7;1,4;0,67;9,3;0;15,7;563;0;0;0
1/01/2024 21:00;53,9;19,7;0;0;9;21,5;30,5;0,9;0,96;2,4;0;14,8;563;0;0;0
1/01/2024 22:00;65,7;23,2;0;0;15,8;19,5;35,3;2,1;1;1,6;0;14,2;563;0;0;0
1/01/2024 23:00;67,7;30,2;0;0;19,9;17,5;37,4;2,8;0,91;1,6;0;14,4;563;0;0;0
2/01/2024 0:00;72,3;35;0;0;5,1;11,6;16,7;1,9;0,41;3,2;0;14,1;563;0;0;0
2/01/2024 1:00;33,5;24,8;0;0;4,9;9,9;14,9;6,8;0,25;4;0;13,3;563;0;0;0
2/01/2024 2:00;32,3;17,5;0;0;13,2;12,7;25,9;4;0,25;1,9;0;11,9;562;0;0;0
2/01/2024 3:00;30,2;13;0;0;10,2;11,2;21,4;2,4;0,22;1,9;0;11,1;562;0;0;0
2/01/2024 4:00;38,6;14;0;0;10;11,9;21,9;2,7;0,24;2,1;0;10,9;562;0;0;0
2/01/2024 5:00;43,7;17,5;0;0;14,3;11,6;25,9;3,3;0,31;1,9;0;10,5;562;0;0;0
2/01/2024 6:00;27,5;16,1;0;0;21,7;12,5;34,2;3,2;0,5;1,8;0;9,8;562;0;0;0
2/01/2024 7:00;20,3;12,4;0;0;15,7;12;27,7;8,1;0,43;3;0;10,8;563;0;0;24
2/01/2024 8:00;34,1;13,1;0;0;13,1;9,6;22,8;6,5;0,47;6,4;0;13,6;563;0;0;239
2/01/2024 9:00;40,6;21,6;0;0;5,1;7;12,1;2,8;0,28;13,9;0;16,1;563;0;0;434
2/01/2024 10:00;41,9;16,5;0;0;4,5;6,9;11,4;2,9;0,26;16;0;17,4;563;0;0;529
2/01/2024 11:00;23,2;14,7;0;0;8,4;7,5;15,9;1,8;0,28;16,2;0;19;563;0;0;687
2/01/2024 12:00;14,5;14,5;0;0;9,9;8,4;18,3;0,4;0,35;16,5;0;20,3;562;0;0;643
2/01/2024 13:00;15,1;11;0;0;5,3;6,1;11,3;0,6;0,25;20,3;0;21,5;562;0;0;622
2/01/2024 14:00;29,2;8,3;0;0;1,8;9,4;11,3;2,7;0,34;45,7;0;20,8;561;0;0;486
2/01/2024 15:00;43;6,6;0;0;2,9;10,5;13,4;2,4;0,4;39,8;0;20,7;561;0;0;476
2/01/2024 16:00;50,2;13,4;0;0;3,2;9,4;12,5;1,8;0,36;33,3;0;19,8;561;0;0;270
2/01/2024 17:00;32,7;10,4;0;0;2,8;9,6;12,4;1,7;0,37;28,2;0;18,7;561;0;0;133
2/01/2024 18:00;51,6;12,1;0;0;1,7;13,6;15,3;2,4;0,46;22,2;0;17,3;561;0;0;23
2/01/2024 19:00;55,5;14,1;0;0;2,2;20,5;22,7;2,3;0,67;15,1;0;16,5;562;0;0;0
2/01/2024 20:00;49,4;10;0;0;4,9;30,1;35;2,5;0,9;5,7;0;15,9;562;0;0;0
2/01/2024 21:00;59,2;11,6;0;0;5,3;28,9;34,2;2,8;0,83;3,8;0;15,3;563;0;0;0
2/01/2024 22:00;63,5;18,7;0;0;10,8;24,4;35,1;3,2;0,73;5,4;0;14,9;563;0;0;0
2/01/2024 23:00;68,2;30,1;0;0;30,9;27,2;58,1;2,1;1,06;1,6;0;14,3;563;0;0;0
3/01/2024 0:00;79,2;27,4;0;0;37,5;22,7;60,2;1,4;0,85;1;0;13,7;563;0;0;0
3/01/2024 1:00;68,2;27,3;0;0;25,6;16,8;42,4;0,4;0,51;0,9;0;12,9;563;0;0;0
3/01/2024 2:00;63,8;25,7;0;0;17,7;17,2;34,9;0,4;0,39;1,4;0;12,8;562;0;0;0
3/01/2024 3:00;38,7;22,8;0;0;10,8;18,2;29;1,9;0,4;2,1;0;12,8;562;0;0;0
3/01/2024 4:00;55,4;28,8;0;0;6,3;16,8;23,1;4,4;0,33;4,9;0;12,7;562;0;0;0
3/01/2024 5:00;52,5;28,7;0;0;11,6;16,7;28,3;2,2;0,34;4,6;0;12;562;0;0;0
3/01/2024 6:00;41,8;27,2;0;0;19,2;17;36,2;6,9;0,5;4,3;0;11,7;563;0;0;0
3/01/2024 7:00;35,3;19,4;0;0;18,6;16;34,6;9;0,57;4,1;0;11,4;563;0;0;29
3/01/2024 8:00;46,7;19,2;0;0;30,3;17,5;47,8;14,6;0,56;4,3;0;13,5;563;0;0;203
3/01/2024 9:00;54,9;32,7;0;0;17,4;19,2;36,6;5;0,66;11,5;0;15,8;563;0;0;458
3/01/2024 10:00;62,9;36,3;0;0;16,4;33,8;50,2;2,5;1;18,9;0;17,5;563;0;0;460
3/01/2024 11:00;54,6;39,4;0;0;8,9;23,4;32,3;1,5;0,67;24,8;0;18,4;563;0;0;538
3/01/2024 12:00;49,9;31,1;0;0;4,9;8,6;13,5;0,2;0,3;27,8;0;20,2;562;0;0;715
3/01/2024 13:00;40,9;23;0;0;4,2;12;16,2;0,9;0,39;37,4;0;20,7;562;0;0;545
3/01/2024 14:00;46;20,2;0;0;3,6;16,9;20,4;2,4;0,5;43,4;0;20,2;561;0;0;282
3/01/2024 15:00;63,7;14,5;0;0;4,9;15,7;20,5;2,1;0,45;39,1;0;20;561;0;0;307
3/01/2024 16:00;74,5;17,1;0;0;4,9;13,4;18,2;2;0,46;34,8;0;19,6;561;0;0;286
3/01/2024 17:00;56,5;19,4;0;0;5,7;15,3;21;1,9;0,53;30,3;0;19;561;0;0;164
3/01/2024 18:00;56,6;22,5;0;0;2,6;14;16,5;2,6;0,47;26,4;0;17,2;561;0;0;36
3/01/2024 19:00;42,9;19,7;0;0;1,3;15,7;17;2,3;0,51;21;0;16;562;0;0;0
3/01/2024 20:00;49,3;21,2;0;0;1,9;15,5;17,4;2,3;0,45;20,2;0;16;562;0;0;0
3/01/2024 21:00;41,4;20,6;0;0;4,1;19,6;23,7;2,4;0,57;12,1;0;15,8;563;0;0;0
3/01/2024 22:00;38,4;19,6;0;0;5,6;20,9;26,6;1,1;0,62;5,2;0;15;563;0;0;0
3/01/2024 23:00;42,1;14,3;0;0;18,6;22,4;41;1,2;0,84;1,3;0;14;563;0;0;0
4/01/2024 0:00;42,3;17,7;0;0;24,2;20,4;44,6;0,7;0,73;0,9;0;12,3;563;0;0;0
4/01/2024 1:00;38,3;17,4;0;0;23,3;18,9;42,3;0,3;0,43;0,9;0;11,1;563;0;0;0
4/01/2024 2:00;59,8;14,3;0;0;22,2;16,8;38,9;0,1;0,34;1,1;0;10,2;563;0;0;0
4/01/2024 3:00;37,6;14,3;0;0;10;14,5;24,5;0,2;0,29;2,4;0;9,9;562;0;0;0
4/01/2024 4:00;45,7;11,5;0;0;10,2;15,2;25,4;0,4;0,28;2,2;0;9,7;562;0;0;0
4/01/2024 5:00;24,2;9,3;0;0;14,9;16,5;31,5;0,5;0,33;1,6;0;9,2;562;0;0;0
4/01/2024 6:00;26,2;17,4;0;0;28;21,2;49,3;1,5;0,59;2,8;0;10,6;562;0;0;0
4/01/2024 7:00;24,3;14,7;0;0;29,8;18,1;47,9;0,7;0,66;2;0;8,9;563;0;0;16
4/01/2024 8:00;35;12;0;0;21;16;37;1,4;0,71;5,4;0;12,3;563;0;0;244
4/01/2024 9:00;47,3;20,3;0;0;62,8;45,8;108,6;2,5;1,71;7,1;0;14,6;564;0;0;435
4/01/2024 10:00;67,4;26,8;0;0;38;54,5;92,5;3,3;1,56;16,7;0;17,1;564;0;0;601
4/01/2024 11:00;78,7;41,3;0;0;12,7;31,3;44,1;2,1;0,8;29,5;0;19;563;0;0;714
4/01/2024 12:00;62,5;33,4;0;0;5,7;20,8;26,6;2,1;0,52;42,2;0;20,5;563;0;0;803
4/01/2024 13:00;50,5;24,4;0;0;3,2;16,4;19,5;2,6;0,44;50,3;0;21,5;562;0;0;596
4/01/2024 14:00;61,6;18,2;0;0;2,3;15,8;18,1;2,4;0,43;52,2;0;20,6;562;0;0;326
4/01/2024 15:00;54,6;14,3;0;0;3,2;14,6;17,8;2,5;0,43;54,6;0;20,5;562;0;0;417
4/01/2024 16:00;57,9;20,7;0;0;2,7;14,3;17;2;0,47;47,1;0;19,4;561;0;0;229
4/01/2024 17:00;63,9;23,9;0;0;3,1;15,1;18,2;2,2;0,48;45,8;0;19,6;562;0;0;233
4/01/2024 18:00;60,3;27,6;0;0;2,1;16,7;18,8;2,5;0,54;38,5;0;17,9;562;0;0;46
4/01/2024 19:00;61,2;19,3;0;0;0,6;17,2;17,8;3,1;0,56;30,4;0;16,5;562;0;0;0
4/01/2024 20:00;58,7;20,5;0;0;10,9;30,1;41;2,2;0,9;14,4;0;15,2;563;0;0;0
4/01/2024 21:00;62,4;25,7;0;0;21,1;36,5;57,6;1,1;1,22;2,4;0;14,4;563;0;0;0
4/01/2024 22:00;82,9;34,2;0;0;32,8;34;66,8;0,8;1,3;1,5;0;13,9;564;0;0;0
4/01/2024 23:00;75,3;33,5;0;0;26,7;29;55,7;0,7;0,99;1,7;0;13,4;563;0;0;0
5/01/2024 0:00;77,4;31,2;0;0;29;28,6;57,5;0,7;0,78;1,5;0;12,7;563;0;0;0
5/01/2024 1:00;71,9;33,8;0;0;12,9;26;39;0,2;0,34;2,5;0;12,1;563;0;0;0
5/01/2024 2:00;51,6;33,9;0;0;5,5;19,9;25,4;0,1;0,22;6,9;0;12;563;0;0;0
5/01/2024 3:00;58,7;26,1;0;0;4,7;17,9;22,6;0;0,2;5,8;0;11,4;562;0;0;0
5/01/2024 4:00;48;25;0;0;12,6;18,1;30,7;0;0,22;6,4;0;10,8;562;0;0;0
5/01/2024 5:00;35,3;18,6;0;0;16,5;19,8;36,3;0;0,36;3,2;0;10,4;562;0;0;0
